"","unicode","emoji","afraid","angry","disgusted","happy","na","neutral","sad","surprised"
"1","1f602","😂",NA,NA,NA,63,NA,NA,NA,NA
"2","2764","❤",NA,NA,NA,49,NA,NA,NA,NA
"3","2665","♥",NA,NA,NA,48,NA,NA,NA,NA
"4","1f60d","😍",NA,NA,NA,66,NA,NA,NA,NA
"5","1f62d","😭",NA,NA,NA,NA,NA,NA,69,NA
"6","1f618","😘",NA,NA,NA,65,NA,NA,NA,NA
"7","1f60a","😊",NA,NA,NA,64,NA,NA,NA,NA
"8","1f44c","👌",NA,NA,NA,48,NA,NA,NA,NA
"9","1f495","💕",NA,NA,NA,47,NA,NA,NA,NA
"10","1f44f","👏",NA,NA,NA,43,NA,25,NA,NA
"11","1f601","😁",NA,NA,NA,54,NA,NA,NA,NA
"12","263a","☺",NA,NA,NA,69,NA,NA,NA,NA
"13","2661","♡",NA,NA,NA,46,NA,NA,NA,NA
"14","1f44d","👍",NA,NA,NA,48,NA,NA,NA,NA
"15","1f629","😩",NA,NA,NA,NA,NA,NA,49,NA
"16","1f64f","🙏",NA,NA,NA,NA,NA,40,NA,NA
"17","270c","✌",NA,NA,NA,49,NA,NA,NA,NA
"18","1f60f","😏",NA,NA,NA,40,NA,NA,NA,NA
"19","1f609","😉",NA,NA,NA,59,NA,NA,NA,NA
"20","1f64c","🙌",NA,NA,NA,44,NA,NA,NA,NA
"21","1f648","🙈",NA,NA,NA,19,NA,20,NA,11
"22","1f4aa","💪",NA,NA,NA,24,NA,29,NA,NA
"23","1f604","😄",NA,NA,NA,64,NA,NA,NA,NA
"24","1f612","😒",NA,25,23,NA,NA,NA,NA,NA
"25","1f483","💃",NA,NA,NA,41,NA,24,NA,NA
"26","1f496","💖",NA,NA,NA,43,NA,NA,NA,NA
"27","1f603","😃",NA,NA,NA,73,NA,NA,NA,NA
"28","1f614","😔",NA,NA,NA,NA,NA,NA,46,NA
"29","1f631","😱",23,NA,NA,NA,NA,NA,NA,38
"30","1f389","🎉",NA,NA,NA,45,NA,NA,NA,NA
"31","1f61c","😜",NA,NA,NA,62,NA,NA,NA,NA
"32","262f","☯",NA,NA,NA,NA,NA,63,NA,NA
"33","1f338","🌸",NA,NA,NA,23,NA,45,NA,NA
"34","1f49c","💜",NA,NA,NA,42,NA,NA,NA,NA
"35","1f499","💙",NA,NA,NA,39,NA,28,NA,NA
"36","2728","✨",NA,NA,NA,21,NA,36,NA,NA
"37","1f633","😳",16,NA,NA,NA,NA,NA,NA,29
"38","1f497","💗",NA,NA,NA,54,NA,NA,NA,NA
"39","2605","★",NA,NA,NA,NA,NA,50,NA,NA
"40","2588","█",NA,NA,NA,NA,25,43,NA,NA
"41","2600","☀",NA,NA,NA,31,NA,29,NA,NA
"42","1f621","😡",NA,52,NA,NA,NA,NA,NA,NA
"43","1f60e","😎",NA,NA,NA,59,NA,NA,NA,NA
"44","1f622","😢",NA,NA,NA,NA,NA,NA,66,NA
"45","1f48b","💋",NA,NA,NA,40,NA,NA,NA,NA
"46","1f60b","😋",NA,NA,NA,59,NA,NA,NA,NA
"47","1f64a","🙊",NA,NA,NA,NA,NA,25,NA,21
"48","1f634","😴",NA,NA,NA,NA,NA,43,NA,NA
"49","1f3b6","🎶",NA,NA,NA,38,NA,32,NA,NA
"50","1f49e","💞",NA,NA,NA,51,NA,NA,NA,NA
"51","1f60c","😌",NA,NA,NA,46,NA,NA,NA,NA
"52","1f525","🔥",NA,18,NA,NA,NA,33,NA,NA
"53","1f4af","💯",NA,NA,NA,NA,NA,41,NA,NA
"54","1f52b","🔫",NA,16,NA,NA,NA,29,NA,NA
"55","1f49b","💛",NA,NA,NA,45,NA,NA,NA,NA
"56","1f481","💁",NA,NA,NA,28,NA,40,NA,NA
"57","1f49a","💚",NA,NA,NA,41,NA,NA,NA,NA
"58","266b","♫",NA,NA,NA,25,NA,37,NA,NA
"59","1f61e","😞",NA,NA,NA,NA,NA,NA,46,NA
"60","1f606","😆",NA,NA,NA,63,NA,NA,NA,NA
"61","1f61d","😝",NA,NA,NA,56,NA,NA,NA,NA
"62","1f62a","😪",NA,NA,NA,NA,NA,NA,30,NA
"63","fffd","�",NA,NA,NA,NA,NA,44,NA,NA
"64","1f62b","😫",NA,NA,NA,NA,NA,12,23,NA
"65","1f605","😅",NA,NA,NA,61,NA,NA,NA,NA
"66","1f44a","👊",NA,31,NA,18,NA,NA,NA,NA
"67","1f480","💀",NA,NA,NA,NA,NA,35,NA,NA
"68","1f600","😀",NA,NA,NA,52,NA,NA,NA,NA
"69","1f61a","😚",NA,NA,NA,53,NA,NA,NA,NA
"70","1f63b","😻",NA,NA,NA,59,NA,NA,NA,NA
"71","a9","©",NA,NA,NA,NA,NA,65,NA,NA
"72","1f440","👀",NA,NA,NA,NA,NA,19,NA,24
"73","1f498","💘",NA,NA,NA,43,NA,NA,NA,NA
"74","1f413","🐓",NA,NA,NA,NA,NA,48,NA,NA
"75","2615","☕",NA,NA,NA,23,NA,42,NA,NA
"76","1f44b","👋",NA,NA,NA,22,NA,42,NA,NA
"77","270b","✋",NA,NA,NA,NA,NA,33,NA,NA
"78","1f38a","🎊",NA,NA,NA,42,NA,NA,NA,NA
"79","1f355","🍕",NA,NA,NA,22,NA,36,NA,NA
"80","2744","❄",NA,NA,NA,NA,NA,51,NA,NA
"81","1f625","😥",NA,NA,NA,NA,NA,NA,38,NA
"82","1f615","😕",NA,NA,NA,NA,15,17,22,NA
"83","1f4a5","💥",NA,24,NA,NA,NA,22,NA,NA
"84","1f494","💔",NA,NA,NA,NA,NA,NA,51,NA
"85","1f624","😤",NA,54,NA,NA,NA,NA,NA,NA
"86","1f608","😈",NA,37,NA,NA,NA,NA,NA,NA
"87","25ba","►",NA,NA,NA,NA,NA,60,NA,NA
"88","2708","✈",NA,NA,NA,NA,NA,56,NA,NA
"89","1f51d","🔝",NA,NA,NA,23,NA,44,NA,NA
"90","1f630","😰",21,NA,NA,NA,NA,NA,28,NA
"91","26bd","⚽",NA,NA,NA,NA,NA,45,NA,NA
"92","1f611","😑",NA,NA,NA,NA,NA,27,NA,NA
"93","1f451","👑",NA,NA,NA,23,NA,36,NA,NA
"94","1f639","😹",NA,NA,NA,56,NA,NA,NA,NA
"95","1f449","👉",NA,NA,NA,NA,NA,51,NA,NA
"96","1f343","🍃",NA,NA,NA,NA,NA,46,NA,NA
"97","1f381","🎁",NA,NA,NA,38,NA,22,NA,NA
"98","1f620","😠",NA,67,NA,NA,NA,NA,NA,NA
"99","1f427","🐧",NA,NA,NA,NA,NA,45,NA,NA
"100","2606","☆",NA,NA,NA,23,NA,42,NA,NA
"101","1f340","🍀",NA,NA,NA,29,NA,36,NA,NA
"102","1f388","🎈",NA,NA,NA,29,NA,29,NA,NA
"103","1f385","🎅",NA,NA,NA,38,NA,26,NA,NA
"104","1f613","😓",23,NA,NA,NA,NA,NA,30,NA
"105","1f623","😣",NA,NA,25,NA,NA,NA,25,NA
"106","1f610","😐",NA,NA,NA,NA,NA,39,NA,NA
"107","270a","✊",NA,24,NA,NA,NA,29,NA,NA
"108","1f628","😨",26,NA,NA,NA,NA,NA,NA,21
"109","1f616","😖",NA,NA,25,NA,NA,NA,15,NA
"110","1f4a4","💤",NA,NA,NA,NA,NA,52,NA,NA
"111","1f493","💓",NA,NA,NA,50,NA,NA,NA,NA
"112","1f44e","👎",NA,14,15,NA,NA,13,25,NA
"113","1f4a6","💦",NA,NA,NA,NA,NA,44,NA,NA
"114","2714","✔",NA,NA,NA,29,NA,36,NA,NA
"115","1f637","😷",NA,NA,13,NA,NA,24,16,NA
"116","26a1","⚡",NA,NA,NA,NA,NA,34,NA,NA
"117","1f64b","🙋",NA,NA,NA,45,NA,NA,NA,NA
"118","1f384","🎄",NA,NA,NA,26,NA,38,NA,NA
"119","1f4a9","💩",NA,NA,25,20,NA,23,NA,NA
"120","1f3b5","🎵",NA,NA,NA,26,NA,41,NA,NA
"121","27a1","➡",NA,NA,NA,NA,NA,60,NA,NA
"122","1f61b","😛",NA,NA,NA,34,NA,NA,NA,NA
"123","1f62c","😬",17,13,NA,9,16,9,NA,NA
"124","1f46f","👯",NA,NA,NA,42,NA,25,NA,NA
"125","1f48e","💎",NA,NA,NA,19,NA,36,NA,NA
"126","1f33f","🌿",NA,NA,NA,NA,NA,52,NA,NA
"127","1f382","🎂",NA,NA,NA,40,NA,24,NA,NA
"128","1f31f","🌟",NA,NA,NA,29,NA,31,NA,NA
"129","1f52e","🔮",NA,NA,NA,NA,NA,46,NA,NA
"130","2757","❗",NA,NA,NA,NA,NA,21,NA,22
"131","1f46b","👫",NA,NA,NA,46,NA,NA,NA,NA
"132","1f3c6","🏆",NA,NA,NA,32,NA,34,NA,NA
"133","2716","✖",NA,NA,NA,NA,NA,30,NA,NA
"134","261d","☝",NA,NA,NA,NA,NA,44,NA,NA
"135","1f619","😙",NA,NA,NA,39,NA,NA,NA,NA
"136","26c4","⛄",NA,NA,NA,33,NA,28,NA,NA
"137","1f445","👅",NA,NA,NA,35,NA,23,NA,NA
"138","266a","♪",NA,NA,NA,33,NA,34,NA,NA
"139","1f342","🍂",NA,NA,NA,NA,NA,50,NA,NA
"140","1f48f","💏",NA,NA,NA,45,NA,NA,NA,NA
"141","1f52a","🔪",NA,31,NA,NA,NA,30,NA,NA
"142","1f334","🌴",NA,NA,NA,26,NA,38,NA,NA
"143","1f448","👈",NA,NA,NA,NA,NA,62,NA,NA
"144","1f339","🌹",NA,NA,NA,33,NA,32,NA,NA
"145","1f646","🙆",NA,NA,NA,49,NA,NA,NA,NA
"146","279c","➜",NA,NA,NA,NA,NA,59,NA,NA
"147","1f47b","👻",NA,NA,NA,30,NA,18,NA,NA
"148","1f4b0","💰",NA,NA,NA,27,NA,34,NA,NA
"149","1f37b","🍻",NA,NA,NA,44,NA,26,NA,NA
"150","1f645","🙅",NA,NA,16,NA,NA,30,NA,NA
"151","1f31e","🌞",NA,NA,NA,42,NA,24,NA,NA
"152","1f341","🍁",NA,NA,NA,NA,NA,56,NA,NA
"153","2b50","⭐",NA,NA,NA,24,NA,42,NA,NA
"154","25aa","▪",NA,NA,NA,NA,NA,50,NA,NA
"155","1f380","🎀",NA,NA,NA,19,NA,35,NA,NA
"156","2501","━",NA,NA,NA,NA,NA,47,NA,NA
"157","2637","☷",NA,NA,NA,NA,NA,51,NA,NA
"158","1f437","🐷",NA,NA,NA,NA,NA,38,NA,NA
"159","1f649","🙉",NA,NA,NA,28,NA,20,NA,NA
"160","1f33a","🌺",NA,NA,NA,30,NA,31,NA,NA
"161","1f485","💅",NA,NA,NA,NA,NA,49,NA,NA
"162","1f436","🐶",NA,NA,NA,32,NA,28,NA,NA
"163","1f31a","🌚",NA,NA,NA,31,NA,27,NA,NA
"164","1f47d","👽",NA,NA,NA,26,NA,33,NA,NA
"165","1f3a4","🎤",NA,NA,NA,NA,NA,49,NA,NA
"166","1f46d","👭",NA,NA,NA,30,16,26,NA,NA
"167","1f3a7","🎧",NA,NA,NA,23,NA,41,NA,NA
"168","1f446","👆",NA,NA,NA,NA,NA,48,NA,NA
"169","1f378","🍸",NA,NA,NA,25,NA,42,NA,NA
"170","1f377","🍷",NA,NA,NA,22,NA,41,NA,NA
"171","ae","®",NA,NA,NA,NA,NA,62,NA,NA
"172","1f349","🍉",NA,NA,NA,22,NA,41,NA,NA
"173","1f607","😇",NA,NA,NA,49,NA,NA,NA,NA
"174","2611","☑",NA,NA,NA,NA,NA,37,NA,NA
"175","1f3c3","🏃",NA,NA,NA,NA,NA,40,NA,NA
"176","1f63f","😿",NA,NA,NA,NA,NA,NA,74,NA
"177","2502","│",NA,NA,NA,NA,NA,52,NA,NA
"178","1f4a3","💣",NA,22,NA,NA,NA,28,NA,NA
"179","1f37a","🍺",NA,NA,NA,32,NA,31,NA,NA
"180","25b6","▶",NA,NA,NA,NA,NA,63,NA,NA
"181","1f632","😲",NA,NA,NA,NA,NA,NA,NA,44
"182","1f3b8","🎸",NA,NA,NA,NA,NA,49,NA,NA
"183","1f379","🍹",NA,NA,NA,30,NA,26,NA,NA
"184","1f4ab","💫",NA,NA,NA,20,NA,30,NA,NA
"185","1f4da","📚",NA,NA,NA,NA,NA,45,NA,NA
"186","1f636","😶",NA,NA,NA,NA,NA,46,NA,NA
"187","1f337","🌷",NA,NA,NA,28,NA,39,NA,NA
"188","1f49d","💝",NA,NA,NA,45,NA,NA,NA,NA
"189","1f4a8","💨",NA,NA,NA,NA,NA,43,NA,NA
"190","1f3c8","🏈",NA,NA,NA,NA,NA,45,NA,NA
"191","1f48d","💍",NA,NA,NA,34,NA,29,NA,NA
"192","2614","☔",NA,NA,NA,NA,NA,34,26,NA
"193","1f478","👸",NA,NA,NA,34,NA,35,NA,NA
"194","1f1ea","🇪",NA,NA,NA,NA,NA,57,NA,NA
"195","2591","░",NA,NA,NA,NA,NA,47,NA,NA
"196","1f369","🍩",NA,NA,NA,29,NA,42,NA,NA
"197","1f47e","👾",NA,NA,NA,NA,NA,36,NA,NA
"198","2601","☁",NA,NA,NA,NA,NA,43,NA,NA
"199","1f33b","🌻",NA,NA,NA,26,NA,40,NA,NA
"200","1f635","😵",NA,NA,NA,NA,NA,NA,NA,39
"201","1f4d2","📒",NA,NA,NA,NA,NA,55,NA,NA
"202","21bf","↿",NA,NA,NA,NA,NA,56,NA,NA
